id;start_session;stop_session;sex;travel_country;number_of_travalers;travel_date;consultation;website_page;cons_duration;travel_amount
392944;2022-01-01 19:23:02.132101;2022-01-01 19:23:37.318746;1;Thailand;1;PASS;PASS;PASS;PASS;132600.0
4235260;2022-01-01 19:21:11.688748;2022-01-01 20:10:46.497991;1;Russia;4;PASS;PASS;PASS;PASS;152000.0
2123316;2022-01-02 00:34:43.136312;2022-01-02 01:32:05.061126;0;Kazakhstan;1;PASS;PASS;PASS;PASS;62300.0
3688025;2022-01-02 01:35:30.942028;2022-01-02 02:00:29.590089;0;United Arab Emirates;5;PASS;PASS;PASS;PASS;610050.0
4452622;2022-01-02 00:07:12.255942;2022-01-02 04:30:26.764548;1;Dominican Republic;1;PASS;PASS;PASS;PASS;110400.0
8819606;2022-01-02 05:28:09.306450;2022-01-02 08:45:20.396562;0;United Arab Emirates;5;PASS;PASS;PASS;PASS;632100.0
5348467;2022-01-02 12:21:00.419651;2022-01-02 12:40:31.206614;0;Italy;2;PASS;PASS;PASS;PASS;264000.0
2224894;2022-01-02 19:01:30.059043;2022-01-02 19:26:27.369255;1;United Arab Emirates;4;PASS;PASS;PASS;PASS;546840.0
4850709;2022-01-02 23:03:56.154428;2022-01-03 03:00:44.994782;1;United Arab Emirates;5;PASS;PASS;PASS;PASS;632100.0
436750;2022-01-03 04:43:43.488156;2022-01-03 04:44:10.316832;0;United Arab Emirates;3;PASS;PASS;PASS;PASS;339570.0
6819399;2022-01-03 04:38:01.731234;2022-01-03 05:17:38.245666;1;Thailand;3;PASS;PASS;PASS;PASS;418200.0
8957687;2022-01-03 05:48:46.967930;2022-01-03 06:03:26.570759;1;Kazakhstan;3;PASS;PASS;PASS;PASS;157500.0
2055248;2022-01-03 07:09:41.203489;2022-01-03 09:15:59.174339;0;Dominican Republic;5;PASS;PASS;PASS;PASS;486000.0
4426687;2022-01-03 09:49:38.084456;2022-01-03 10:29:54.270526;1;United Arab Emirates;5;PASS;PASS;PASS;PASS;690900.0
4862252;2022-01-03 05:30:55.093629;2022-01-03 11:52:06.493586;0;Italy;2;PASS;PASS;PASS;PASS;285000.0
9098227;2022-01-03 13:16:08.491183;2022-01-03 13:28:18.235495;0;Italy;5;PASS;PASS;PASS;PASS;637500.0
