id;start_session;stop_session;sex;service_category;customer_category;number_person;assesment
840;2022-01-01 13:54:01;2022-01-01 14:00:35;Female;med_service;individual;3;5
3908;2022-01-01 17:44:47;2022-01-01 17:46:12;Male;med_service;individual;1;1
2326;2022-01-01 19:06:26;2022-01-01 19:10:15;Male;med_service;individual;2;4
7292;2022-01-01 19:17:51;2022-01-01 19:18:49;Female;med_service;individual;3;5
4171;2022-01-01 20:25:01;2022-01-01 20:28:49;Female;med_service;individual;2;4
3627;2022-01-01 23:20:14;2022-01-01 23:23:35;Female;med_service;individual;5;4
2650;2022-01-01 23:30:34;2022-01-01 23:33:38;Male;med_service;individual;4;1
1624;2022-01-02 01:44:52;2022-01-02 01:57:50;Female;med_service;individual;5;1
3656;2022-01-02 01:44:52;2022-01-02 02:30:36;Female;med_service;The business;41;2
6410;2022-01-02 08:28:04;2022-01-02 08:34:34;Female;med_service;individual;4;3
6340;2022-01-02 12:09:12;2022-01-02 13:08:17;Male;med_service;The business;29;1
5425;2022-01-02 13:12:53;2022-01-02 13:22:24;Female;med_service;individual;1;1
7069;2022-01-02 16:13:12;2022-01-02 16:40:56;Male;med_service;individual;4;3
6023;2022-01-02 16:59:56;2022-01-02 17:01:01;Female;med_service;individual;5;5
1322;2022-01-02 17:34:39;2022-01-02 17:37:16;Female;med_service;individual;2;4
4188;2022-01-02 18:18:36;2022-01-02 18:19:44;Female;med_service;individual;2;2
7873;2022-01-02 18:23:07;2022-01-02 18:23:19;Male;med_service;individual;2;2
1224;2022-01-02 22:36:02;2022-01-02 22:36:46;Male;med_service;individual;1;1
3917;2022-01-02 22:58:22;2022-01-02 23:12:05;Female;med_service;individual;5;1
5628;2022-01-03 01:17:59;2022-01-03 01:18:03;Male;med_service;individual;2;4
379;2022-01-03 01:17:59;2022-01-03 01:30:18;Female;med_service;individual;5;2
7981;2022-01-03 02:22:49;2022-01-03 02:25:35;Male;med_service;individual;2;4
5489;2022-01-03 04:56:51;2022-01-03 06:01:44;Female;med_service;individual;4;1
2564;2022-01-03 07:34:25;2022-01-03 07:37:00;Male;med_service;individual;3;1
3033;2022-01-03 09:46:27;2022-01-03 09:54:18;Male;med_service;individual;3;4
306;2022-01-03 09:55:52;2022-01-03 10:04:11;Male;med_service;individual;3;1
7614;2022-01-03 11:33:27;2022-01-03 12:58:12;Male;med_service;individual;5;1
7965;2022-01-03 14:58:38;2022-01-03 14:59:07;Female;med_service;individual;3;4
308;2022-01-03 15:56:31;2022-01-03 15:56:50;Female;info;individual;0;3
5001;2022-01-03 18:54:44;2022-01-03 18:58:08;Female;med_service;individual;5;2
1824;2022-01-03 22:33:33;2022-01-03 22:42:24;Male;info;individual;-1;3
6836;2022-01-03 22:56:39;2022-01-03 23:29:30;Male;med_service;individual;4;3
8801;2022-01-04 08:08:38;2022-01-04 08:15:29;Male;med_service;individual;3;4
6246;2022-01-04 08:24:49;2022-01-04 08:26:51;Male;info;individual;0;4
7025;2022-01-04 11:59:55;2022-01-04 12:09:20;Female;med_service;individual;4;2
3266;2022-01-04 13:38:15;2022-01-04 13:41:45;Male;med_service;individual;3;5
3559;2022-01-04 14:52:05;2022-01-04 14:57:04;Male;med_service;individual;1;3
1684;2022-01-04 15:55:50;2022-01-04 15:56:02;Male;med_service;individual;1;3
5621;2022-01-04 18:54:37;2022-01-04 19:23:56;Female;med_service;individual;5;2
4542;2022-01-04 19:33:37;2022-01-04 19:37:30;Female;info;individual;0;3
64;2022-01-05 01:34:51;2022-01-05 01:42:54;Female;med_service;individual;4;2
6701;2022-01-05 01:53:52;2022-01-05 01:58:23;Male;med_service;individual;-1;1
3184;2022-01-05 03:27:34;2022-01-05 03:32:46;Male;med_service;individual;5;5
1923;2022-01-05 03:50:33;2022-01-05 04:09:31;Male;med_service;The business;22;3
6864;2022-01-05 06:07:57;2022-01-05 06:08:47;Female;med_service;individual;3;3
8674;2022-01-05 08:12:54;2022-01-05 08:56:36;Male;med_service;individual;5;3
3429;2022-01-05 08:12:54;2022-01-05 11:25:39;Female;med_service;The business;47;4
7573;2022-01-05 08:56:36;2022-01-05 08:59:49;Male;med_service;individual;3;1
3683;2022-01-05 08:59:49;2022-01-05 14:54:57;Male;med_service;The business;30;4
6538;2022-01-05 16:10:48;2022-01-05 16:14:19;Male;med_service;individual;4;5
6599;2022-01-05 16:10:48;2022-01-05 20:19:14;Male;med_service;The business;40;4
1831;2022-01-06 00:25:52;2022-01-06 00:33:17;Male;med_service;individual;5;5
852;2022-01-06 04:21:30;2022-01-06 04:24:37;Male;med_service;individual;3;3
772;2022-01-06 05:35:23;2022-01-06 05:55:46;Female;med_service;individual;2;4
6310;2022-01-06 10:47:53;2022-01-06 10:54:16;Male;med_service;individual;4;4
652;2022-01-06 15:21:57;2022-01-06 15:24:56;Male;med_service;individual;4;2
7817;2022-01-06 15:39:17;2022-01-06 15:39:40;Female;med_service;individual;2;2
6277;2022-01-06 15:39:17;2022-01-06 15:55:06;Female;med_service;individual;2;1
8845;2022-01-06 17:31:36;2022-01-06 17:52:48;Male;med_service;individual;4;2
9213;2022-01-06 20:22:19;2022-01-06 20:23:43;Male;med_service;individual;1;1
5995;2022-01-06 21:12:53;2022-01-06 21:28:01;Male;med_service;individual;4;4
8029;2022-01-06 22:44:15;2022-01-06 22:49:47;Male;med_service;individual;3;1
6611;2022-01-06 22:57:24;2022-01-06 22:57:35;Female;med_service;individual;-1;3
3496;2022-01-07 00:37:59;2022-01-07 00:40:33;Male;info;individual;0;5
4549;2022-01-07 00:37:59;2022-01-07 06:09:38;Male;med_service;The business;40;1
9434;2022-01-07 00:40:33;2022-01-07 00:42:35;Male;info;individual;0;5
8066;2022-01-07 00:40:33;2022-01-07 13:52:02;Female;med_service;The business;41;5
1749;2022-01-07 00:42:35;2022-01-07 00:52:04;Male;med_service;individual;4;2
8915;2022-01-07 00:52:04;2022-01-07 00:52:40;Male;info;individual;-1;3
5204;2022-01-07 00:52:40;2022-01-07 00:56:06;Female;med_service;individual;2;4
2221;2022-01-07 00:56:06;2022-01-07 01:00:53;Male;med_service;individual;2;1
7348;2022-01-07 01:00:53;2022-01-07 01:00:55;Female;med_service;individual;4;5
2477;2022-01-07 01:00:55;2022-01-07 01:01:36;Male;med_service;individual;-1;2
4245;2022-01-07 01:01:36;2022-01-07 01:07:38;Male;med_service;individual;2;2
2313;2022-01-07 01:07:38;2022-01-07 01:10:39;Male;med_service;individual;3;3
1003;2022-01-07 01:10:39;2022-01-07 01:10:51;Male;med_service;individual;5;2
