id;start_session;stop_session;sex;travel_country;number_of_travalers;consultation;website_page;cons_duration (min);travel_amount
7085;2022-01-01 14:25:48;2022-01-01 15:21:54;Female;Kazakhstan;4;True;Order;1;244720
9832;2022-01-01 19:21:09;2022-01-02 01:24:07;Female;Thailand;5;True;Search;282;599250
8837;2022-01-02 01:57:34;2022-01-02 01:57:41;Female;Turkey;3;False;Order;0;266400
2263;2022-01-02 02:17:40;2022-01-02 02:17:46;Female;Dominican Republic;5;False;Order;0;450000
6987;2022-01-02 02:46:06;2022-01-02 02:46:09;Male;Egypt;3;False;Search;0;282000
8095;2022-01-02 03:05:04;2022-01-02 03:05:38;Male;Maldives;2;False;Directions;0;107900
5532;2022-01-02 03:23:39;2022-01-02 03:23:55;Female;Dominican Republic;5;False;Home;0;594000
2214;2022-01-02 03:24:42;2022-01-02 03:24:54;Male;Russia;1;False;Directions;0;36000
7952;2022-01-02 03:25:03;2022-01-02 03:25:03;Female;Dominican Republic;5;False;Directions;0;504000
3678;2022-01-02 03:53:34;2022-01-02 03:53:37;Female;Georgia;4;False;Order;0;581000
2198;2022-01-02 03:54:57;2022-01-02 03:55:08;Male;Thailand;4;False;Search;0;571200
1009;2022-01-02 03:57:21;2022-01-02 03:57:21;Female;Egypt;4;False;Order;0;392000
5925;2022-01-02 04:42:53;2022-01-02 04:43:02;Male;Kazakhstan;1;False;Sales;0;60200
1200;2022-01-02 04:59:29;2022-01-02 04:59:32;Male;Maldives;4;False;Order;0;223600
9782;2022-01-02 05:00:29;2022-01-02 05:00:47;Male;United Arab Emirates;5;False;Sales;0;573300
6921;2022-01-02 05:04:10;2022-01-02 05:04:13;Female;Italy;4;False;Order;0;456000
2308;2022-01-02 05:06:11;2022-01-02 05:06:22;Male;Russia;5;False;Home;0;198000
4142;2022-01-02 05:14:56;2022-01-02 05:15:13;Female;Maldives;2;False;Directions;0;114400
9655;2022-01-02 05:18:40;2022-01-02 05:18:44;Female;Maldives;5;False;Home;0;240500
8232;2022-01-02 05:43:14;2022-01-02 05:43:19;Male;Egypt;4;False;Directions;0;364000
8632;2022-01-02 05:57:32;2022-01-02 05:57:33;Female;United Arab Emirates;4;False;About Us;0;452760
6551;2022-01-02 06:51:32;2022-01-02 06:51:40;Female;Italy;3;False;About Us;0;378000
5355;2022-01-02 06:52:56;2022-01-02 06:53:02;Female;Georgia;5;False;About Us;0;656250
9981;2022-01-02 07:03:37;2022-01-02 07:03:46;Female;Maldives;5;False;Search;0;263250
1954;2022-01-02 07:26:57;2022-01-02 07:27:01;Female;United Arab Emirates;3;False;About Us;0;379260
6515;2022-01-02 08:04:08;2022-01-02 08:04:21;Female;Dominican Republic;5;False;Directions;0;594000
5013;2022-01-02 08:16:03;2022-01-02 08:16:04;Female;Italy;5;False;Sales;0;600000
338;2022-01-02 08:23:55;2022-01-02 08:23:56;Male;Maldives;1;False;Search;0;57200
4034;2022-01-02 08:37:03;2022-01-02 08:37:08;Male;Kazakhstan;4;False;About Us;0;271600
8201;2022-01-02 08:44:12;2022-01-02 08:44:14;Female;Turkey;2;False;Search;0;223200
4027;2022-01-02 09:16:19;2022-01-02 09:16:20;Female;Turkey;2;False;Sales;0;211200
6974;2022-01-02 09:17:56;2022-01-02 09:18:10;Female;Kazakhstan;3;False;Home;0;205800
4460;2022-01-02 09:40:09;2022-01-02 09:40:15;Female;Italy;5;False;Order;0;690000
3607;2022-01-02 09:56:13;2022-01-02 09:56:48;Female;Russia;2;False;Order;0;73600
3204;2022-01-02 10:11:27;2022-01-02 10:11:35;Male;Thailand;4;False;About Us;0;503200
8757;2022-01-02 10:13:52;2022-01-02 10:13:53;Female;Thailand;1;False;Search;0;147900
2443;2022-01-02 10:28:56;2022-01-02 10:28:58;Female;Maldives;4;False;Home;0;195000
4963;2022-01-02 10:30:55;2022-01-02 10:30:55;Female;United Arab Emirates;1;False;Order;0;138180
7925;2022-01-02 11:00:37;2022-01-02 11:00:38;Male;United Arab Emirates;3;False;Directions;0;401310
8760;2022-01-02 11:32:10;2022-01-02 11:32:14;Female;Turkey;2;False;About Us;0;189600
8606;2022-01-02 11:41:55;2022-01-02 11:42:21;Male;United Arab Emirates;5;False;About Us;0;595350
93;2022-01-02 11:44:53;2022-01-02 11:45:16;Male;United Arab Emirates;4;False;Home;0;552720
3854;2022-01-02 12:32:08;2022-01-02 12:32:18;Female;Egypt;4;False;Sales;0;364000
8310;2022-01-02 12:40:05;2022-01-02 12:40:14;Male;Egypt;3;False;About Us;0;267000
9696;2022-01-02 13:10:56;2022-01-02 13:11:05;Male;Italy;2;False;Home;0;243000
1991;2022-01-02 13:12:09;2022-01-02 13:12:26;Female;Turkey;2;False;Order;0;194400
6489;2022-01-02 13:41:48;2022-01-02 13:41:49;Male;Russia;2;False;About Us;0;74400
9885;2022-01-02 14:32:01;2022-01-02 14:32:05;Male;Dominican Republic;4;False;About Us;0;446400
2235;2022-01-02 15:07:56;2022-01-02 15:07:57;Male;Dominican Republic;4;False;Sales;0;379200
328;2022-01-02 15:24:36;2022-01-02 15:24:39;Female;Egypt;1;False;Directions;0;92000
6022;2022-01-02 15:30:19;2022-01-02 15:30:30;Male;Dominican Republic;3;False;Search;0;306000
3472;2022-01-02 15:58:48;2022-01-02 15:59:03;Male;Kazakhstan;4;False;About Us;0;229600
5234;2022-01-02 16:39:05;2022-01-02 16:39:08;Male;Kazakhstan;3;False;Home;0;193200
5908;2022-01-02 16:52:41;2022-01-02 16:52:58;Male;Georgia;5;False;Home;0;866250
9315;2022-01-02 17:05:06;2022-01-02 17:05:11;Female;Dominican Republic;3;False;Sales;0;334800
3295;2022-01-02 17:35:33;2022-01-02 17:35:36;Male;Italy;3;False;About Us;0;333000
8872;2022-01-02 17:36:43;2022-01-02 17:36:45;Female;Dominican Republic;3;False;Search;0;262800
7898;2022-01-02 17:48:33;2022-01-02 17:48:37;Female;Georgia;5;False;Order;0;638750
6854;2022-01-02 18:21:13;2022-01-02 18:21:45;Male;Russia;4;False;About Us;0;123200
8508;2022-01-02 18:53:44;2022-01-02 18:53:47;Female;Turkey;4;False;Sales;0;470400
984;2022-01-02 19:06:14;2022-01-02 19:06:14;Male;Dominican Republic;3;False;Home;0;262800
5076;2022-01-02 19:17:44;2022-01-02 19:17:47;Male;Thailand;3;False;Home;0;438600
3670;2022-01-02 19:30:10;2022-01-02 19:30:26;Male;Egypt;4;False;Order;0;328000
3733;2022-01-02 19:49:18;2022-01-02 19:49:39;Female;Kazakhstan;1;False;Sales;0;59500
2177;2022-01-02 19:49:19;2022-01-02 19:49:28;Male;Maldives;4;False;About Us;0;244400
4714;2022-01-02 20:12:44;2022-01-02 20:12:59;Female;Georgia;5;False;Sales;0;708750
8389;2022-01-02 20:36:16;2022-01-02 20:36:46;Female;Maldives;3;False;Directions;0;169650
4716;2022-01-02 21:08:18;2022-01-02 21:08:23;Female;Turkey;4;False;Sales;0;432000
5836;2022-01-02 21:16:15;2022-01-02 21:16:21;Female;Dominican Republic;2;False;Search;0;204000
3760;2022-01-02 22:24:44;2022-01-02 22:24:47;Male;Italy;4;False;Sales;0;504000
4299;2022-01-02 22:29:49;2022-01-02 22:30:00;Male;United Arab Emirates;2;False;Order;0;238140
4275;2022-01-02 23:29:39;2022-01-02 23:29:48;Female;Kazakhstan;2;False;Home;0;135800
4930;2022-01-02 23:42:50;2022-01-02 23:42:51;Female;Kazakhstan;4;False;About Us;0;224000
4433;2022-01-02 23:53:14;2022-01-02 23:53:29;Male;Egypt;5;False;Directions;0;365000
9469;2022-01-03 00:00:23;2022-01-03 00:00:35;Female;Georgia;4;False;Sales;0;616000
7049;2022-01-03 00:39:31;2022-01-03 00:39:36;Female;Russia;5;False;Home;0;198000
8113;2022-01-03 00:51:57;2022-01-03 00:52:05;Female;Egypt;2;False;About Us;0;170000
7774;2022-01-03 01:09:39;2022-01-03 01:09:44;Male;Georgia;2;False;Order;0;336000
5965;2022-01-03 01:15:12;2022-01-03 01:15:20;Male;United Arab Emirates;5;False;Home;0;588000
2415;2022-01-03 01:28:26;2022-01-03 01:28:31;Female;Egypt;2;False;Search;0;188000
6147;2022-01-03 01:30:42;2022-01-03 01:30:49;Male;Maldives;2;False;About Us;0;114400
5058;2022-01-03 01:34:00;2022-01-03 01:34:07;Male;Egypt;3;False;Home;0;243000
7435;2022-01-03 02:38:59;2022-01-03 02:39:15;Female;Egypt;3;False;Directions;0;246000
2715;2022-01-03 03:11:19;2022-01-03 03:11:25;Female;Egypt;4;False;Home;0;316000
3918;2022-01-03 03:17:04;2022-01-03 03:17:28;Female;Turkey;5;False;Directions;0;504000
9404;2022-01-03 03:30:33;2022-01-03 03:30:40;Male;Italy;4;False;About Us;0;576000
6410;2022-01-03 04:18:20;2022-01-03 04:18:24;Female;United Arab Emirates;4;False;Search;0;540960
3787;2022-01-03 04:32:56;2022-01-03 04:33:17;Male;Egypt;4;False;Order;0;372000
2772;2022-01-03 04:50:20;2022-01-03 04:50:25;Male;Italy;2;False;Directions;0;264000
749;2022-01-03 04:51:08;2022-01-03 04:51:14;Female;Maldives;5;False;Search;0;318500
4010;2022-01-03 04:59:59;2022-01-03 05:00:00;Male;Kazakhstan;2;False;Directions;0;116200
7974;2022-01-03 05:01:37;2022-01-03 05:02:06;Male;Georgia;3;False;Search;0;462000
